geo,year,FE_obs,FE_pred_core,FE_pred_elec
AL,2010,0.079462039,0.079462039,0.079462039
AL,2011,0.081787788,0.08076211565667045,0.07824423066750616
AL,2012,0.074969801,0.08094207795087749,0.08710787036360836
AL,2013,0.082139596,0.08152861886445105,0.09584638185153989
AL,2014,0.086188375,0.08242041942926465,0.08737363973210982
AL,2015,0.082165859,0.0833148352109903,0.08375466171080061
AL,2016,0.079530694,0.08518612083931512,0.08250204446016675
AL,2017,0.087040569,0.08673192870325021,0.08313670315367694
AL,2018,0.08935518099999999,0.08853803023297722,0.08445202106417486
AL,2019,0.08595652499999999,0.08939760858350883,0.0900715991537429
AL,2020,0.07706508299999999,0.08691017623331795,0.09977457814547848
AL,2021,0.084259527,0.0918700192318031,0.10179975938897758
AL,2022,0.08201299499999999,0.09451350861883624,0.10633539474341853
AL,2023,0.078858383,0.09667634111879615,0.11152272761619858
BA,2014,0.129942548,0.129942548,0.129942548
BA,2015,0.13887225399999997,0.13329114808791806,0.1257570013933854
BA,2016,0.148377408,0.13577015636394135,0.1245283462538935
BA,2017,0.146451443,0.13830459197378187,0.13211437134989923
BA,2018,0.176345108,0.14147056176294878,0.11280130707266325
BA,2019,0.176167475,0.1437838395172577,0.110123255139523
BA,2020,0.168497309,0.1401496006850969,0.10143525926400306
BA,2021,0.18025513699999998,0.14658968223210905,0.10809924857991053
BA,2022,0.179614212,0.15033797972329843,0.10908102214984677
BA,2023,0.173341102,0.15214846593956816,0.11116859131189887
ME,2010,0.02991997,0.02991997,0.02991997
ME,2011,0.030114819999999997,0.030644112181897082,0.03237062888489269
ME,2012,0.02926449,0.03012415986170009,0.03088522030706997
ME,2013,0.026837,0.03085200487824844,0.02898665260042334
ME,2014,0.02631716,0.03137957815527482,0.028998092816228227
ME,2015,0.02774357,0.031945634647420944,0.028743704374639568
ME,2016,0.02883705,0.03272184457224162,0.028241104847606165
ME,2017,0.030517109,0.03346522078719365,0.029172743027244107
ME,2018,0.030548269,0.03457377656564865,0.030019780193037648
ME,2019,0.031845862,0.03563567179986467,0.0318456606311217
ME,2020,0.029175305999999998,0.031803191792425176,0.0287257183841392
ME,2021,0.03333925099999999,0.034628211769257684,0.02881880810181189
ME,2022,0.031510253,0.03645755708749883,0.028076795153756336
ME,2023,0.031897891,0.03809408667097453,0.030255872320053136
MK,2010,0.07494060799999999,0.07494060799999999,0.07494060799999999
MK,2011,0.07968361599999998,0.07605915843299495,0.0777951469983828
MK,2012,0.077275493,0.07572703836645119,0.07583133475844599
MK,2013,0.07598214999999998,0.07718551032387826,0.07631824054540097
MK,2014,0.075256915,0.07907205029744324,0.07810134084549276
MK,2015,0.07693619199999999,0.08112895819651726,0.07728896871406002
MK,2016,0.077363682,0.08266015202237674,0.07309784483477917
MK,2017,0.077834775,0.08318459109532289,0.07203768690519301
MK,2018,0.07673567999999999,0.08472575913153589,0.07446770421534699
MK,2019,0.081135109,0.0868543906057901,0.07379817500195848
MK,2020,0.07594103299999999,0.0837119967489469,0.0758029277448145
MK,2021,0.08242620699999999,0.08607140795746886,0.07572214454951072
MK,2022,0.075558433,0.08764936985467388,0.07558291486469897
MK,2023,0.075730464,0.08915404814543204,0.07283439711322537
RS,2010,0.36686971799999996,0.36686971799999996,0.36686971799999996
RS,2011,0.380249873,0.36617762570194723,0.3587883902026337
RS,2012,0.352205887,0.3645080039229278,0.37379140931961485
RS,2013,0.343387998,0.3651262576049656,0.3803179004052542
RS,2014,0.32161915399999996,0.3599766249136455,0.3877646724408171
RS,2015,0.330166438,0.3626781296973843,0.39454997956386917
RS,2016,0.34358280099999994,0.3696169676869222,0.3922666466983989
RS,2017,0.350152069,0.3751110152783227,0.39801714081967393
RS,2018,0.35315804599999995,0.3866015227385191,0.4056269322082793
RS,2019,0.351168696,0.3987244297587101,0.41989895245912934
RS,2020,0.36491943499999996,0.39527836756031826,0.3989594999740863
RS,2021,0.388043847,0.4158404453110658,0.41337505143490627
RS,2022,0.39737876799999994,0.4204911865854922,0.40511539103592475
RS,2023,0.38948148499999996,0.43065874100049023,0.419710066832865
XK,2010,0.0900008777399231,0.0900008777399231,0.0900008777399231
XK,2011,0.09415968916442796,0.09399613347167987,0.09209935027823458
XK,2012,0.08838168171850408,0.09536081356724198,0.09778949299752902
XK,2013,0.08711583428403613,0.09907811489520993,0.10320041313989667
XK,2014,0.08175052661294455,0.10129988900433232,0.10911963599714014
XK,2015,0.08321299311792077,0.10502890710666621,0.11425875937743245
XK,2016,0.08652790173188016,0.10889550952461102,0.11556849413340421
XK,2017,0.08932369924990806,0.11280269443255642,0.11969098236555048
XK,2018,0.09089093127061994,0.11559630435761552,0.12128502231199913
XK,2019,0.09045086591830745,0.11925483982847529,0.12558794641693044
XK,2020,0.09468748526765346,0.11478454438574494,0.11585350525386906
XK,2021,0.10141116566665287,0.12320133237912062,0.12247090845377355
XK,2022,0.10542564136746008,0.12648333191218009,0.12185830785947176
XK,2023,0.09895061504445521,0.1281451081613177,0.12488726406839641
